timestamp,yaw,roll,pitch,face_count
16265_5.jpg,13.037375,4.603907,-2.4867742,1
15903_6.jpg,-25.933865,2.5415587,2.8153336,1
15370_3.jpg,8.700122,-5.642925,0.05580921,1
13807_2.jpg,3.3203888,4.3308544,3.4106216,1
12323_2.jpg,1.6055468,-5.6248326,-1.3274336,1
13750_3.jpg,8.762139,19.255177,6.4725184,1
14024_4.jpg,3.3776772,-8.618226,0.39612985,1
12198_5.jpg,2.4732206,-2.4768007,-4.8605304,1
15498_5.jpg,1.5692538,2.1376908,8.930478,1
13061_1.jpg,,,,0
10666_3.jpg,,,,0
16265_2.jpg,,,,0
14053_1.jpg,,,,0
14266_2.jpg,,,,0
13736_3.jpg,-3.4696043,-1.1716897,12.487788,1
14275_2.jpg,64.552795,-11.743161,-12.230729,1
12867_id.jpg,-29.56052,7.5855365,5.0028534,1
14250_2.jpg,-2.5707412,-3.2932482,-2.6512308,1
12847_3.jpg,-12.461433,-1.2406774,0.33379504,1
10559_1.jpg,1.9704602,-9.8352995,2.7492816,1
12204_5.jpg,-10.780628,-6.380248,1.858507,1
14483_2.jpg,4.328188,-5.097669,-3.863526,1
14117_3.jpg,-0.7835055,-10.638415,-0.33135054,1
15900_1.jpg,-54.999115,22.679193,-21.642845,1
14483_6.jpg,5.28368,-5.7095165,-20.429756,1
14033_5.jpg,2.2964032,-9.474907,2.4991455,1
10563_3.jpg,-1.6523113,-2.9079723,-7.5898595,1
12993_1.jpg,-5.133157,-3.3649848,-2.0059016,1
12190_4.jpg,4.448673,5.787791,1.2038959,1
13752_2.jpg,0.48057216,-10.402458,3.395729,1
10766_1.jpg,-18.64089,22.581327,-5.3221016,1
15350_1.jpg,47.648586,-4.414064,3.471803,1
14482_2.jpg,-3.2464643,1.6942937,-3.5297246,1
15687_6.jpg,-4.664846,-4.332552,0.030055784,1
12865_3.jpg,-4.6713037,-3.6461496,-3.416659,1
14270_1.jpg,5.5513225,-3.265227,-8.488879,1
12324_id.jpg,3.1840434,-7.299488,1.4061872,1
16322_3.jpg,-17.063725,14.211817,-4.26473,1
11929_3.jpg,-6.8957024,-4.6662297,6.769656,1
15892_3.jpg,-8.489018,-15.265419,17.04188,1
13224_4.jpg,-4.474036,-3.9918823,-0.62088096,1
14620_1.jpg,4.104742,-13.468341,-8.934717,1
13729_1.jpg,5.3301945,-8.567201,-0.4195571,1
14081_5.jpg,16.719969,-6.293961,-2.6224432,1
6777_2.jpg,10.703962,15.797034,2.6844711,1
16207_3.jpg,-3.824946,1.8237336,-1.2797136,1
13472_1.jpg,-0.92769074,8.287296,-1.5410216,1
13351_6.jpg,-0.76383656,-0.22248775,-0.7563357,1
9729_3.jpg,-6.013391,3.5726645,-11.338144,1
13753_5.jpg,8.77067,6.5710754,-7.82123,1
13755_3.jpg,58.74299,-1.0155092,5.79074,1
13741_4.jpg,-6.1410594,-8.027442,0.7838623,1
13803_4.jpg,17.031193,-19.36414,0.41792965,1
13986_1.jpg,27.347767,-5.7100134,3.0551887,1
14395_5.jpg,38.061043,-6.265536,-0.9406973,1
14249_2.jpg,-22.494495,-4.069229,4.340295,1
10786_4.jpg,-34.709904,-14.9920225,8.1995125,1
11673_4.jpg,-64.44412,2.014526,3.6760793,1
