timestamp,yaw,roll,pitch
0.0,-6.8209853,-4.089671,-3.5101411
31.0,-8.571986,-3.2114453,-3.0377636
64.0,-7.6618705,-3.205566,-3.4195938
100.0,-6.6073923,-3.5292473,-3.9301777
132.0,-8.624988,-4.015033,-4.109576
195.0,-7.6296415,-3.6469448,-3.9989915
232.0,-8.22754,-3.6215093,-2.8254626
264.0,-9.491012,-2.4362333,-3.176225
295.0,-8.265944,-2.4910977,-3.345761
331.0,-9.281785,-4.5571012,-2.7818558
364.0,-8.059597,-3.0970383,-3.7762072
396.0,-6.5281625,-2.5021205,-2.942341
428.0,-8.870721,-2.6990824,-3.5548904
464.0,-8.314193,-1.9716189,-2.3487782
496.0,-8.258417,-4.708932,-3.2096474
528.0,-5.827285,-3.1166894,-3.7810526
564.0,-6.7833304,-3.525885,-3.43121
596.0,-8.402661,-4.2695966,-3.0471878
628.0,-9.365813,-5.013516,-4.1446333
660.0,-7.604238,-4.7111807,-3.5249853
696.0000000000001,-9.666377,-1.2909021,-1.1441276
727.0,-7.102171,-3.2420313,-2.1786547
760.0,-8.001574,-4.644809,-2.2021475
828.0000000000001,-6.2794027,-2.7398489,-1.9430933
860.0,-7.343639,-5.8942547,-2.1448894
892.0,-8.323496,-4.350425,-2.3489623
928.0,-5.3321853,-4.6722555,-1.4981711
960.0,-6.6934786,-5.0088253,-0.89813924
992.0,-8.156005,-3.5891838,-0.4537192
1028.0,-12.6200485,-4.1762805,-0.9361682
1060.0,-11.315356,-3.5622478,-0.19035497
1092.0,-11.793218,-5.328571,-0.78229684
1124.0,-10.098363,-6.4138675,-1.3753434
1160.0,-10.636641,-4.6715684,-2.046173
1192.0,-10.127947,-4.590894,-1.4106742
1224.0,-8.942292,-5.1615067,-1.8252087
1260.0,-9.812429,-4.52359,-2.1363716
1292.0,-7.589492,-3.1435277,-1.879694
1324.0,-5.25173,-4.484911,-2.7294953
1356.0,-5.815791,-3.366227,-2.38007
1392.0000000000002,-7.1436014,-2.6613314,-3.2307513
1456.0,-7.409567,-3.5464377,-2.5121484
1492.0,-6.077455,-5.4361515,-3.0234416
1524.0,-5.2048144,-4.0642295,-3.861037
1556.0,-5.2882137,-4.8276434,-4.08953
1624.0,-4.293347,-3.905519,-4.134936
1656.0000000000002,-3.3751397,-4.6248555,-4.2922373
1688.0,-3.057937,-4.4232144,-4.2320375
1724.0,-3.753819,-4.022686,-3.3725061
1756.0,-4.392208,-3.6083975,-3.180303
1788.0,-4.7742224,-4.073768,-3.8051782
1820.0,-4.6530848,-4.156026,-3.7545033
1856.0,-4.075975,-4.8526187,-4.526007
1888.0000000000002,-4.1019382,-3.8359241,-3.698122
1920.0,-4.45657,-4.6748776,-3.6047525
1956.0,-4.2908564,-3.1555893,-3.6965919
1988.0,-5.070771,-4.1019635,-3.5107756
2020.0,-7.077702,-5.80122,-3.719808
2052.0,-5.627155,-4.6979747,-3.9789622
2088.0,-5.894768,-4.0635066,-3.854209
2120.0,-6.0516543,-3.969743,-3.748623
2152.0,-5.0542355,-4.974995,-3.8152213
2188.0,-5.9147673,-5.5836725,-3.5985162
2220.0,-7.876914,-3.3447776,-3.8798993
2252.0,-7.002636,-5.4840016,-4.1742682
2284.0000000000005,-7.3575215,-3.8922582,-4.0249157
2320.0,-7.0489902,-3.7318385,-4.2280354
2352.0,-6.2217517,-5.1226964,-4.7993884
2384.0,-5.2856092,-5.193733,-4.5854144
2420.0,-7.279054,-3.3406174,-3.8088377
2453.0,-10.176561,-2.332296,-4.273148
2484.0,-9.170669,-4.1969743,-4.454413
2552.0,-4.7637606,-4.4045434,-4.611022
2584.0,-5.7585855,-3.694834,-4.5578575
2616.0,-4.9710603,-4.568275,-5.149079
2648.0,-6.535184,-5.2544837,-4.1236954
2684.0,-7.9961114,-4.392066,-4.8607407
2716.0,-6.523795,-3.1495788,-4.1720133
2748.0,-7.2065845,-4.8976293,-5.2321606
2784.0000000000005,-6.9205613,-3.793194,-4.4337935
2816.0,-5.969325,-4.3864164,-4.3537164
2848.0,-7.309204,-4.5379148,-3.944567
2880.0,-6.207135,-4.8054442,-4.1196704
2916.0,-5.021568,-2.9084246,-4.4023366
2948.0,-6.570093,-5.335508,-4.136043
2980.0,-7.6068974,-4.317321,-4.3800316
3016.0,-8.515716,-4.9573135,-4.2876534
